id,slac_sg,slac_cla,sif_oe,sif_cin,sif_cla,sif_adp,sif_cl,sif_mng,ilacs_oe,ilacs_ldr,ilacs_cin,ilacs_cla
34,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,,,,
35,,,,,,,,,,,,
36,Requires improvement to be good,Good,Inadequate,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good,Good,Requires improvement to be good,Good
37,Outstanding,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,,,,
38,Good,Good,Good,Good,Good,Good,Outstanding,Good,,,,
39,Requires improvement to be good,Good,Good,Good,Good,Good,Outstanding,Good,,,,
40,Good,Good,Good,Good,Good,Outstanding,Requires improvement to be good,Good,Outstanding,Outstanding,Good,Outstanding
41,Good,Good,Good,Requires improvement to be good,Good,Good,Good,Good,Good,Good,Good,Good
42,Inadequate,Requires improvement to be good,Good,Good,Good,Good,Good,Good,Outstanding,Outstanding,Outstanding,Good
43,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good,Requires improvement to be good,Good,Good,Good,Good,Good
44,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Good,Requires improvement to be good,Inadequate,,,,
45,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good,Good,Good,,,,
46,Good,Good,Good,Good,Good,Good,Outstanding,Good,,,,
47,Good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Requires improvement to be good,,,,
48,Good,Good,Good,Good,Good,Outstanding,Good,Outstanding,,,,
49,Good,Good,Good,Good,Good,Outstanding,Good,Outstanding,Outstanding,Outstanding,Outstanding,Outstanding
50,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
51,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Good,Good,Good,Good,,,,
52,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Outstanding
53,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Good,Good,Requires improvement to be good,Good
54,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good
55,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Good,Good,Good,Good,Good,Outstanding,Good,Good
56,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Good,Outstanding,Good,Good
57,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,Good
58,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good
59,Good,Good,Good,Good,Good,Good,Good,Outstanding,,,,
60,Good,Good,Outstanding,Good,Outstanding,Outstanding,Outstanding,Outstanding,,,,
61,Inadequate,Inadequate,Good,Requires improvement to be good,Good,Good,Good,Good,,,,
62,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good
63,Inadequate,Requires improvement to be good,Good,Good,Good,Good,Good,Good,,,,
64,Good,Good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
65,Good,Good,Inadequate,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good,Inadequate,,,,
66,Outstanding,Outstanding,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Inadequate,,,,
67,Good,Good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,,,,
68,Inadequate,Requires improvement to be good,Good,Good,Good,Good,Good,Outstanding,Outstanding,Outstanding,Outstanding,Good
69,Requires improvement to be good,Good,Inadequate,Inadequate,Requires improvement to be good,Good,Requires improvement to be good,Inadequate,,,,
70,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,,,,
71,Outstanding,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
72,Outstanding,Good,Good,Good,Good,Outstanding,Good,Good,Outstanding,Outstanding,Good,Outstanding
73,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
74,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,,,,
75,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good,Inadequate,,,,
76,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Requires improvement to be good
77,Good,Good,Good,Good,Good,Outstanding,Good,Outstanding,,,,
78,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,,,,
79,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,,,,
80,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,,,,
81,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Inadequate
82,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good,Inadequate,Requires improvement to be good,,,,
83,Requires improvement to be good,Good,Good,Requires improvement to be good,Good,Good,Good,Good,,,,
84,Good,Outstanding,Outstanding,Good,Outstanding,Outstanding,Outstanding,Outstanding,,,,
85,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,,,,
86,Good,Good,Good,Good,Good,Good,Outstanding,Good,,,,
87,Requires improvement to be good,Good,Good,Good,Good,Good,Good,Good,Outstanding,Outstanding,Outstanding,Outstanding
88,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Inadequate,Inadequate
89,Outstanding,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,,,,
90,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
91,Inadequate,Requires improvement to be good,Good,Good,Good,Good,Requires improvement to be good,Good,,,,
92,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
93,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Requires improvement to be good,Good
94,Inadequate,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good
95,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
96,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,Good,Good,Good,Good,Good
97,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,,,,
98,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good,Requires improvement to be good,Good,Outstanding,Outstanding,Outstanding,Good
99,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Requires improvement to be good,,,,
100,Good,Good,Good,Good,Good,Good,Good,Good,,,,
101,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good
102,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Inadequate,Inadequate,,,,
103,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,,,,
104,Inadequate,Requires improvement to be good,Good,Good,Good,Requires improvement to be good,Good,Good,Good,Good,Good,Good
105,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,,,,
106,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,,,,
107,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good,Requires improvement to be good,Good
108,Requires improvement to be good,Good,Good,Good,Requires improvement to be good,Good,Requires improvement to be good,Good,,,,
109,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
110,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,,,,
111,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Inadequate,Inadequate,,,,
112,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Good,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
113,Requires improvement to be good,Good,Good,Good,Good,Outstanding,Good,Good,,,,
114,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,,,,
115,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
116,Good,Good,Good,Good,Requires improvement to be good,Outstanding,Requires improvement to be good,Good,,,,
117,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,,,,
118,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good,Good,Good,Good,Good,Requires improvement to be good,Good
119,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Outstanding,Good,Good,,,,
120,Requires improvement to be good,Good,Good,Good,Requires improvement to be good,Requires improvement to be good,Outstanding,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
121,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Inadequate
122,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Good,Good,Requires improvement to be good,Good,Outstanding,Outstanding,Outstanding,Good
123,Good,Good,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,Inadequate,,,,
124,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Good,Requires improvement to be good,Inadequate,,,,
125,Inadequate,Requires improvement to be good,Good,Good,Good,Good,Requires improvement to be good,Good,,,,
126,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Requires improvement to be good
127,Requires improvement to be good,Good,Inadequate,Inadequate,Requires improvement to be good,Good,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
128,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,,,,
129,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,,,,
130,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,,,,
131,Good,Good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Good,Good,Good,Good
132,Good,Good,Good,Good,Good,Good,Outstanding,Outstanding,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good
133,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Inadequate
134,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,,,,
135,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Outstanding,Good,Good
136,Good,Good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,,,,
137,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Requires improvement to be good,Good,Good,Good,Good
138,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,,,,
139,Requires improvement to be good,Good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,,,,
140,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Inadequate
141,Good,Good,Outstanding,Good,Outstanding,Outstanding,Good,Outstanding,,,,
142,Good,Good,Good,Requires improvement to be good,Good,Outstanding,Good,Good,,,,
143,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Good,Good
144,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,,,,
145,Good,Good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good
146,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
147,Requires improvement to be good,Good,Good,Requires improvement to be good,Good,Good,Good,Good,,,,
148,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Inadequate,Requires improvement to be good,Inadequate,Inadequate,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
149,Good,Good,Good,Requires improvement to be good,Good,Good,Good,Good,,,,
150,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Inadequate,Requires improvement to be good,Requires improvement to be good
151,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Requires improvement to be good,Requires improvement to be good,,,,
152,Good,Good,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good,Good,Good,Requires improvement to be good,,,,
