la_name,UTLA18CD,region,inspection_type,year,judgement,exp_all_total,exp_cla_total,exp_sg_total,exp_ehfs_total,exp_all_perchild,exp_sg_perchild,exp_ehfs_perchild,exp_cla_percla,cla_exp_aspercent,sg_exp_aspercent,ehfs_exp_aspercent,imd_2015,income_dep_2019,imd_2019,imd_quintile,imd_decile,good_or_outstanding
Blackpool,E06000009,North West,ilacs,2019,Inadequate,469.07071999999994,243.09183,119.10815,106.87074,1622.8574591752003,412.0818917796845,369.7437724882369,42797.8573943662,51.824132190557535,25.392365142723044,22.78350266671943,41.997,2.4699999999999998,45.039,5,10,0
Bolton,E08000001,North West,slac,2012,Good,509.84750986775674,178.38017716536456,71.72585936311631,259.7518563530806,789.2376313742366,111.03074204816768,402.0926568933137,34636.92760492516,34.986966438579344,14.068100358422939,50.94696969696969,28.42,1.8599999999999999,30.691,5,9,1
Bolton,E08000001,North West,sif,2014,Requires improvement to be good,496.35997493540464,218.38592935501237,83.77015537661008,194.2038902037822,756.64630325519,127.69840758629584,296.04251555454607,41204.89233113441,43.99748980232193,16.87689572220479,39.12561447547328,28.42,1.8599999999999999,30.691,5,9,0
Bolton,E08000001,North West,ilacs,2019,Good,551.8323800000001,303.01948,95.8084,153.0045,815.4756612974732,141.58179400029556,226.1038865080538,47199.29595015576,54.91150772993784,17.361866297153494,27.726625972908657,28.42,1.8599999999999999,30.691,5,9,1
Bracknell Forest,E06000036,South East,slac,2012,Good,176.51123468051205,59.7542444462557,41.39707603948244,75.3599141947739,663.5760702274889,155.62810541158814,283.3079481006538,59754.244446255696,33.852941176470594,23.45294117647059,42.694117647058825,10.462,0.68,10.241,1,1,1
Bracknell Forest,E06000036,South East,sif,2018,Good,220.03497319852687,93.18862638718387,73.62357907027837,53.22276774106462,783.8515663799895,262.2762960716696,189.60054056166373,67527.99013564049,42.35173392327242,33.45994411708878,24.1883219596388,10.462,0.68,10.241,1,1,1
Bradford,E08000032,"North East, Yorkshire and The Humber",slac,2013,Good,1046.2340030204186,399.49683915102247,194.03776198290643,452.69940188648974,759.7923042995052,140.91340739499378,328.75773557479283,45656.78161725971,38.18427216069231,18.546306220475568,43.26942161883212,33.168,1.8900000000000001,34.666,5,10,1
Bradford,E08000032,"North East, Yorkshire and The Humber",sif,2015,Requires improvement to be good,984.8600084206241,405.03098550894674,194.50499760411955,385.33440832136256,709.0424826642362,140.03239568331142,277.4185805049407,46026.248353289404,41.12574193752438,19.7495071320886,39.12580519329911,33.168,1.8900000000000001,34.666,5,10,0
Bradford,E08000032,"North East, Yorkshire and The Humber",ilacs,2019,Inadequate,974.8810133000001,488.942336,231.7847845,254.15389280000002,686.5117519101441,163.22297419104962,178.97531270025704,42186.56911130285,50.154052579700604,23.77569994059089,26.07024747970851,33.168,1.8900000000000001,34.666,5,10,0
Brent,E09000005,London,slac,2012,Requires improvement to be good,578.5622952274996,222.8402422772441,97.38228647461898,258.3397664756365,820.6557379113469,138.130902800878,366.43938507182486,61900.06729923448,38.51620544847636,16.83177201105488,44.65202254046876,26.655,1.55,25.558,3,6,0
Brent,E09000005,London,cpi,2013,Requires improvement to be good,682.2886031368123,282.9890412480798,91.95197025474205,307.3475916339904,956.9265121133412,128.96489516794117,431.0625408611366,82025.80905741443,41.47644265887509,13.47699050401753,45.04656683710737,26.655,1.55,25.558,3,6,0
Brent,E09000005,London,sif,2016,Requires improvement to be good,505.8708155805428,189.87417344720728,126.51702321070819,189.46923590882258,674.4944207740571,168.68936428094423,252.6256478784301,56510.17066881169,37.53412286283122,25.00974938938035,37.454075244760986,26.655,1.55,25.558,3,6,0
Brent,E09000005,London,ilacs,2019,Good,556.8514121999999,216.4707023,177.95389779999996,162.4268121,714.8927531357117,228.45942228441578,208.5255569820138,72398.22819397993,38.87405105875029,31.957160186941515,29.168788754308206,26.655,1.55,25.558,3,6,1
Brighton and Hove,E06000043,South East,slac,2012,Requires improvement to be good,641.8986794363892,272.242621960178,141.9150326831317,227.7410247930795,1286.3700990709203,284.39886309244827,456.39483926468836,56132.499373232575,42.412086312316,22.108634466694703,35.47927922098929,23.441,1.23,20.761,3,5,0
Brighton and Hove,E06000043,South East,sif,2016,Requires improvement to be good,642.5528093060876,306.9115050541915,137.99025346494147,197.65105078695458,1254.9859556759525,269.51221379871384,386.03720856827067,70231.465687458,47.76440171285448,21.475317120465377,30.76028116668013,23.441,1.23,20.761,3,5,0
Brighton and Hove,E06000043,South East,ilacs,2019,Good,576.7174206000001,305.45119600000004,130.89554,140.3706846,1130.7076180766594,256.6327614939712,275.20965513184984,78120.51048593351,52.96375401357175,22.696650963624453,24.33959502280379,23.441,1.23,20.761,3,5,1
Bristol,E06000023,South West,slac,2011,Good,959.7227319993583,341.47655801015765,183.592450095342,434.65372389385857,1178.296785757346,225.40509526745487,533.6448421041848,50217.14088384671,35.580751254976626,19.129738618660202,45.28951012636316,27.161,1.41,26.363,4,7,1
Bristol,E06000023,South West,sif,2015,Requires improvement to be good,861.561719489384,354.74604965261034,200.37140040379538,306.4442694329784,937.4991506957389,218.03199173427137,333.4540472611299,50678.00709323005,41.17476921593676,23.256766853864878,35.56846393019837,27.161,1.41,26.363,4,7,0
Bristol,E06000023,South West,ilacs,2019,Requires improvement to be good,787.61309,366.78043,186.74553,234.08713,837.7436712899932,198.631647804629,248.98648102450647,59445.77471636953,46.56860515103933,23.710313143728985,29.72108170523169,27.161,1.41,26.363,4,7,0
Bromley,E09000006,London,slac,2011,Requires improvement to be good,453.32238271477394,153.44017800638866,143.9397203750552,155.94248433333004,659.7618726746819,209.4887503639284,226.95747974578669,57901.95396467496,33.84791571232249,31.75217590471827,34.39990838295923,15.164,0.9099999999999999,14.163,1,2,0
Bromley,E09000006,London,cpi,2013,Requires improvement to be good,385.6666647631141,147.94756370368333,130.57678160836,107.15270246487556,557.3217698888932,188.6947711103468,154.8449457584907,52838.41560845834,38.36151195347836,33.85741977169934,27.783760499676934,15.164,0.9099999999999999,14.163,1,2,0
Bromley,E09000006,London,sif,2017,Inadequate,419.23494839382556,186.9669295818812,149.11046124981377,83.15755756213065,571.9439950802532,203.42491302839534,113.44823678326146,64919.07277148653,44.59717165713154,35.56727840106993,19.83554994179855,15.164,0.9099999999999999,14.163,1,2,0
Bromley,E09000006,London,ilacs,2019,Good,514.3453099999999,252.31431,174.85348,87.17752,685.2911997868229,232.9671307707681,116.15151555525948,72504.11206896552,49.0554312627056,33.995348377921445,16.94922035937297,15.164,0.9099999999999999,14.163,1,2,1
Buckinghamshire,E10000002,South East,slac,2011,Good,772.361247892897,220.56636225400692,210.5571369462414,341.2377486926487,670.045326531532,182.66429855664217,296.03344208610105,56555.47750102741,28.55740922473013,27.2614838614274,44.18110691384247,9.757,0.66,10.052,1,1,1
Buckinghamshire,E10000002,South East,sif,2015,Inadequate,938.41678767204,347.27027971320035,272.63717648475796,318.50933147408165,789.2487701194617,229.2995597012262,267.88000965019484,79832.24820993112,37.00597477317991,29.052887807036953,33.94113741978314,9.757,0.66,10.052,1,1,0
Bury,E08000002,North West,slac,2013,Requires improvement to be good,318.86235394344266,145.61138559761773,63.554427498789074,109.7069238608406,755.5979951266414,150.60290876490302,259.9690138882479,45503.557999255536,45.665906870726154,19.931618365353305,34.40573103223705,21.769,1.45,23.682,3,6,0
Bury,E08000002,North West,sif,2017,Requires improvement to be good,289.99757556627657,128.92588241340695,79.67924793754408,81.39244521532552,675.9850246300153,185.7325126749279,189.72597952290332,36835.96640383056,44.45757250268528,27.475832438238452,28.06659505907626,21.769,1.45,23.682,3,6,0
Calderdale,E08000033,"North East, Yorkshire and The Humber",cpi,2013,Inadequate,526.2942037344585,169.46116830709633,91.49511764733367,265.3483007938333,1154.1539555580232,200.64718782310015,581.9041684075291,50585.423375252634,32.19894255050505,17.384785353535356,50.41824494949495,24.607,1.49,26.351,4,7,0
Calderdale,E08000033,"North East, Yorkshire and The Humber",sif,2015,Requires improvement to be good,480.78545422830064,173.14713820777757,113.51748992717872,194.12082609334433,1052.0469457949685,248.3971333198659,424.7720483442983,54108.4806899305,36.013389482777235,23.61084116186157,40.37576935536119,24.607,1.49,26.351,4,7,0
Calderdale,E08000033,"North East, Yorkshire and The Humber",ilacs,2019,Good,451.79049,198.40363,110.61707,142.76979,981.7050694248278,240.36216075269985,310.2274831055388,59224.96417910448,43.91496377004306,24.48415193511488,31.600884294842064,24.607,1.49,26.351,4,7,1
Cambridgeshire,E10000003,East of England,cpi,2013,Inadequate,975.0688264027581,333.9073409465051,318.97656709529474,322.1849183609582,754.6972340578624,246.8858878446554,249.36913185832682,71044.11509500108,34.244489404749224,32.71323607709509,33.042274518155686,13.393,0.8,13.858,1,2,0
Cambridgeshire,E10000003,East of England,sif,2015,Good,1001.8258529775627,357.39371817281796,232.7352544331575,411.69688037158727,761.8447551160173,176.9849843598156,313.077475567747,67432.77701373924,35.67423590742794,23.231108854042514,41.09465523852954,13.393,0.8,13.858,1,2,1
Cambridgeshire,E10000003,East of England,ilacs,2019,Requires improvement to be good,1009.4949,436.60654,240.41817,332.47019,743.8125096707167,177.14407710047968,244.96952526912224,56555.251295336784,43.249999578997375,23.81568941061515,32.934311010387475,13.393,0.8,13.858,1,2,0
Camden,E09000007,London,slac,2013,Good,642.064807657265,219.93299841191802,126.09131964471402,296.04048960063295,1629.606110805241,320.0287300627259,751.3718010168349,82993.58430638416,34.25401856463663,19.638410039134513,46.107571396228856,24.959,1.41,20.131,3,5,1
Camden,E09000007,London,sif,2018,Good,710.0363346679421,231.59954406748045,146.02584403525285,332.41094656520875,1443.955696556936,296.96346376111455,676.002982460311,115223.65376491565,32.617984849436056,20.565967811146418,46.81604733941751,24.959,1.41,20.131,3,5,1
Central Bedfordshire,E06000056,East of England,slac,2013,Good,399.673350385703,190.67366551017196,77.17694161060271,131.83312627873303,706.1366614588392,136.35502051343235,232.92071780694883,77825.98592251916,47.70737536694983,19.310004416387393,32.98521809160107,12.201,0.77,12.152,1,1,1
Central Bedfordshire,E06000056,East of England,sif,2018,Good,408.9547822008721,181.0948217670779,113.38474340782255,114.47521702597166,665.5190193507983,184.5184517369242,186.29305119037195,58043.21210483266,44.282358257917856,27.725496397821743,27.992145344260393,12.201,0.77,12.152,1,1,1
Cheshire East,E06000049,North West,slac,2012,Requires improvement to be good,492.49749380004283,251.90229791670018,75.10033884965551,165.49485703368714,657.540045126893,100.26747509967358,220.9544152652699,57250.52225379549,51.14793498197457,15.248877363860606,33.60318765416482,14.132,0.8300000000000001,14.475,1,2,0
Cheshire East,E06000049,North West,cpi,2014,Inadequate,535.7842783519873,261.95305527968463,112.95680718172298,160.8640328767749,716.2891421818013,151.0117743071163,215.05886748231939,78194.94187453273,48.89151583271966,21.08251618154335,30.02403007635363,14.132,0.8300000000000001,14.475,1,2,0
Cheshire East,E06000049,North West,sif,2016,Requires improvement to be good,533.1158438041701,252.24493737225646,134.46002877133125,146.41087766058237,710.8211250722268,179.280038361775,195.21450354744314,65348.429371050894,47.3152205667543,25.221540558963873,27.463238874281814,14.132,0.8300000000000001,14.475,1,2,0
Cheshire West and Chester,E06000050,North West,slac,2011,Inadequate,439.03535571945713,171.1328335296588,83.40674989344431,184.50615531015876,651.6778324468712,123.80399271700209,273.8699054626076,48206.431980185575,38.97928294390313,18.997729637688014,42.025352379150505,18.086,1.08,18.083,2,3,0
Cheshire West and Chester,E06000050,North West,cpi,2013,Requires improvement to be good,488.1573940296632,198.06637133914398,123.27752290363057,166.81349978688863,739.6324151964594,186.78412561156145,252.74772694983125,51445.81073744,40.57428480272253,25.253642454535786,34.172072742741676,18.086,1.08,18.083,2,3,0
Cheshire West and Chester,E06000050,North West,sif,2016,Good,519.4829466785517,257.23916701233446,125.07378429184989,137.16999537436735,784.7174421126158,188.93320890007536,207.20543107910476,55083.33340735213,49.51830828269907,24.076590981771666,26.405100735529263,18.086,1.08,18.083,2,3,1
Cornwall,E06000052,South West,cpi,2013,Requires improvement to be good,925.6249146646053,261.9945873349036,241.03128246314157,422.59904486656006,896.9233669230671,233.5574442472302,409.49519851410855,56342.922007506146,28.30461704132454,26.039843855162196,45.655539103513256,23.833,1.3,23.072,3,6,0
Cornwall,E06000052,South West,sif,2017,Good,771.5721388437371,311.3450519488138,152.78604813669028,307.4410387582331,727.2121949516843,144.00193038330846,289.7653522697767,75204.1188282159,40.352034019189624,19.80191357941624,39.84605240139415,23.833,1.3,23.072,3,6,1
Coventry,E08000026,West Midlands,slac,2012,Good,777.1893493120992,329.9825617283149,173.4690116357244,273.73777594805995,1100.834772396741,245.70681534805158,387.7305608329461,57388.27160492433,42.45845134398547,22.32004488858013,35.221503767434406,28.107,1.54,25.613,4,7,1
Coventry,E08000026,West Midlands,sif,2014,Inadequate,726.0945383789934,378.0247666028284,181.83772076234163,166.2320510138234,997.3826076634525,249.77708895926045,228.34072941459257,60003.93120679815,52.06274756545738,25.043256924682904,22.893995509859717,28.107,1.54,25.613,4,7,0
Croydon,E09000008,London,slac,2013,Requires improvement to be good,963.5436810795011,420.8962306025834,156.6485292720521,385.99892120486567,1070.6040900883345,174.0539214133912,428.8876902276285,57657.017890764844,43.68211206896552,16.257543103448278,40.060344827586206,23.643,1.36,22.477,3,6,0
Croydon,E09000008,London,sif,2018,Inadequate,1066.4118040286287,504.32001563663795,358.9078797377189,203.18390865427185,1125.2036972077328,378.69467658952135,214.38555384254482,65411.15637310479,47.29130095254451,33.65565519641263,19.053043851042858,23.643,1.36,22.477,3,6,0
Cumbria,E10000006,North West,slac,2013,Inadequate,706.366812149995,243.75163207998241,210.73364818092193,251.8815318890907,745.1126710442985,222.29287782797672,265.6978184484079,38690.73525079086,34.5077979156561,29.83345827637401,35.6587438079699,21.331,1.09,21.261,3,5,0
Cumbria,E10000006,North West,cpi,2014,Inadequate,799.4920629646723,296.74653453935497,236.72233173417615,266.0231966911411,851.4292470337298,252.1004597808053,283.304788808457,44623.53902847443,37.116883116883116,29.609090909090906,33.27402597402597,21.331,1.09,21.261,3,5,0
Cumbria,E10000006,North West,sif,2016,Inadequate,840.3803713277226,332.96248669027415,219.9537644395275,287.4537371841163,905.5822966893563,237.0191427150081,309.75618231047014,50372.5395900566,39.620450221156936,26.17312016605303,34.20519409918704,21.331,1.09,21.261,3,5,0
Darlington,E06000005,"North East, Yorkshire and The Humber",slac,2012,Requires improvement to be good,206.6531237556607,83.03296139647382,42.778016875512336,80.84214548367451,902.4153875793044,186.8035671419753,353.0224693610241,40503.88360803601,40.179872381048085,20.700396925086668,39.11973069386524,23.639,1.53,25.657,4,7,0
Darlington,E06000005,"North East, Yorkshire and The Humber",sif,2016,Inadequate,221.5423655516521,110.57909702043844,56.55627619439701,54.40699233681666,980.2759537683721,250.24900970972126,240.73890414520645,54205.4397159012,49.91329615222384,25.52842480198716,24.558279045789007,23.639,1.53,25.657,4,7,0
Derby City,E06000015,East Midlands,slac,2012,Requires improvement to be good,536.6356854839756,248.32015815406626,119.21776450597878,169.09776282393057,941.4661148841677,209.15397281750663,296.6627417963694,51733.366282097144,46.2735082423961,22.21577277300518,31.510718984598718,27.79,1.58,26.323,4,7,0
Derby City,E06000015,East Midlands,cpi,2013,Good,526.512247024358,269.67801755040824,94.05972205710346,162.77450741684632,923.7056965339614,165.01705624053238,285.56931125762515,57995.27259148564,51.21970458892899,17.864678853852375,30.91561655721864,27.79,1.58,26.323,4,7,1
Derby City,E06000015,East Midlands,sif,2018,Good,611.8166236752683,312.46712108519495,162.71303834829334,136.63646424177998,1025.3337081871432,272.688182249528,228.98686817794533,63638.924864601824,51.07202207226099,26.59506656926928,22.33291135846973,27.79,1.58,26.323,4,7,1
Derbyshire,E10000007,East Midlands,slac,2012,Good,1106.0920776047217,403.65004467291686,150.29412482355366,552.1582911220559,706.7681007058924,96.03458455179147,352.8167994390133,57664.29209613098,36.49334922884848,13.58784931802608,49.919740164649994,18.515,1.12,18.392,2,4,1
Derbyshire,E10000007,East Midlands,sif,2014,Good,1113.5055494613032,484.1806997424493,196.9450058482325,432.3902268844261,717.9274980408145,126.97937192020149,278.781577617296,77468.91195879188,43.482558302173565,17.68693527782699,38.83143888179182,18.515,1.12,18.392,2,4,1
Devon,E10000008,South West,cpi,2014,Inadequate,1273.1651527367287,513.7515230583374,314.00310348282625,445.41052619556507,899.1279327236786,221.7536041545383,314.5554563528002,75000.22234428284,40.352307943239275,24.663187082042086,34.98450497471865,17.086,0.97,16.607,2,3,0
Devon,E10000008,South West,sif,2016,Requires improvement to be good,1155.2141159149276,485.60317263369814,338.9950177108258,330.6159255704038,810.1080756766673,237.72441634700266,231.84847515456087,68588.01873357319,42.035772065432326,29.34477799748338,28.619449937084312,17.086,0.97,16.607,2,3,0
Doncaster,E08000017,"North East, Yorkshire and The Humber",slac,2012,Requires improvement to be good,684.5624831600494,245.96321402039118,141.52047815855173,297.0787909811065,1049.9424588344316,217.05594809593825,455.64231745568486,48228.08118046886,35.929987411081285,20.67312796711714,43.39688462180158,29.051,1.6600000000000001,30.289,5,9,0
Doncaster,E08000017,"North East, Yorkshire and The Humber",cpi,2013,Inadequate,666.568720236442,284.61917441542334,129.4035010484248,252.53566175878908,1022.3446629393283,198.47162737488466,387.32463459936974,56923.834883084666,42.69914950621514,19.4133773637808,37.885915449079405,29.051,1.6600000000000001,30.289,5,9,0
Doncaster,E08000017,"North East, Yorkshire and The Humber",sif,2016,Inadequate,581.1165166234646,279.5418806649074,154.18775500032964,147.38688095822755,891.2830009562341,236.48428681032155,226.0534984021895,57400.796851110346,48.10427387078331,26.53301886792453,25.362707261292165,29.051,1.6600000000000001,30.289,5,9,0
Dudley,E08000027,West Midlands,slac,2012,Requires improvement to be good,586.1003632497379,260.7070936231163,102.85413474971485,222.53913487690676,865.7317034708093,151.92634379573832,328.7136408816939,38623.27312935056,44.48164682539682,17.54889455782313,37.969458616780045,22.958,1.56,24.103,3,6,0
Dudley,E08000027,West Midlands,sif,2017,Inadequate,609.4829103380034,327.5840855394209,150.27335879594418,131.62546600263832,894.9822471923692,220.66572510417646,193.28262261767742,48530.97563546977,53.74787052810903,24.655877342419082,21.59625212947189,22.958,1.56,24.103,3,6,0
Dudley,E08000027,West Midlands,ilacs,2019,Requires improvement to be good,589.3065300000001,313.7687,162.81543,112.7224,850.7998700642461,235.06161842200245,162.74077817079333,47612.85280728377,53.24371681406619,27.628309158563024,19.12797402737078,22.958,1.56,24.103,3,6,0
County Durham,E06000047,"North East, Yorkshire and The Humber",slac,2012,Outstanding,1027.5861102271126,308.2093817797835,206.2274201896665,513.1596912714675,1026.5595506764362,206.02139879087562,512.6470442272403,47054.86744729519,29.993533263277023,20.069113248726865,49.938363915609095,25.741,1.6500000000000001,26.793,4,7,1
County Durham,E06000047,"North East, Yorkshire and The Humber",sif,2017,Requires improvement to be good,855.4149753169804,379.83141100485244,217.2749468779056,258.3086174342223,852.8564060986844,216.62507166291684,257.53600940600427,46547.96703490838,44.40317529677372,25.399946592867717,30.196878110358554,25.741,1.6500000000000001,26.793,4,7,0
Ealing,E09000009,London,slac,2012,Good,664.1598610337431,240.15910930354377,138.70668141746827,285.30445332653585,864.7914857210197,180.60765809566183,371.49017360226026,58575.39251305945,36.159834912297164,20.884532407841668,42.957196010380514,23.585,1.4000000000000001,22.71,3,6,1
Ealing,E09000009,London,sif,2017,Good,552.5009305776122,251.89191490289542,138.17714771342673,162.43186796129004,674.6043108395753,168.71446607256013,198.32950911024423,72591.32994319753,45.591220025558144,25.009396376757127,29.399383597684736,23.585,1.4000000000000001,22.71,3,6,1
East Riding of Yorkshire,E06000011,"North East, Yorkshire and The Humber",slac,2012,Requires improvement to be good,397.50330050051315,170.15683023201362,47.87607665363771,179.48077662866658,621.0989070320518,74.80636977130892,280.4387134822915,54018.041343496385,42.80639431616341,12.044196008776513,45.15202173231638,15.792,0.96,15.605,1,2,0
East Riding of Yorkshire,E06000011,"North East, Yorkshire and The Humber",sif,2017,Good,382.9151661048591,188.75280795629578,42.32116426810395,151.84119388045931,609.7375256446801,67.39038896194896,241.7853405739798,65767.52890463268,49.29363594457549,11.052360421920334,39.65400363350416,15.792,0.96,15.605,1,2,1
East Sussex,E10000011,South East,slac,2011,Good,713.3441974267776,266.0128136773364,161.71544000876324,285.60556072687325,686.8324643046192,155.70521857188834,274.99091154137614,45086.9175724299,37.2909479935374,22.670043520661398,40.03755294528624,18.825,1.19,19.77,2,4,1
East Sussex,E10000011,South East,sif,2014,Good,843.983277117966,342.09953883844184,198.41939380850502,303.46434447101916,805.3275545018761,189.33148264170325,289.56521418990377,59495.57197190292,40.53392384818847,23.509872670234362,35.95620348157716,18.825,1.19,19.77,2,4,1
East Sussex,E10000011,South East,ilacs,2019,Outstanding,763.7570599999999,405.93374,186.12678,171.69654,717.9652371730996,174.96736167252627,161.40230122769745,67655.62333333334,53.14958921623586,24.369893222329104,22.480517561435047,18.825,1.19,19.77,2,4,1
